interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,load
2020-02-06T00:00:00-06:00,2020-02-06 06:00:00+00:00,2020-02-07T00:00:00-06:00,2020-02-07 06:00:00+00:00,47350.565972222222
2020-02-07T00:00:00-06:00,2020-02-07 06:00:00+00:00,2020-02-08T00:00:00-06:00,2020-02-08 06:00:00+00:00,42086.114583333333
2020-02-08T00:00:00-06:00,2020-02-08 06:00:00+00:00,2020-02-09T00:00:00-06:00,2020-02-09 06:00:00+00:00,37530.142361111111
2020-02-09T00:00:00-06:00,2020-02-09 06:00:00+00:00,2020-02-10T00:00:00-06:00,2020-02-10 06:00:00+00:00,35562.645833333333
2020-02-10T00:00:00-06:00,2020-02-10 06:00:00+00:00,2020-02-11T00:00:00-06:00,2020-02-11 06:00:00+00:00,40252.753472222222
2020-02-11T00:00:00-06:00,2020-02-11 06:00:00+00:00,2020-02-12T00:00:00-06:00,2020-02-12 06:00:00+00:00,43756.236111111111
2020-02-12T00:00:00-06:00,2020-02-12 06:00:00+00:00,2020-02-13T00:00:00-06:00,2020-02-13 06:00:00+00:00,42829.423611111111
2020-02-13T00:00:00-06:00,2020-02-13 06:00:00+00:00,2020-02-14T00:00:00-06:00,2020-02-14 06:00:00+00:00,44028.913194444444
2020-02-14T00:00:00-06:00,2020-02-14 06:00:00+00:00,2020-02-15T00:00:00-06:00,2020-02-15 06:00:00+00:00,44484.468750000000
2020-02-15T00:00:00-06:00,2020-02-15 06:00:00+00:00,2020-02-16T00:00:00-06:00,2020-02-16 06:00:00+00:00,38964.409722222222
2020-02-16T00:00:00-06:00,2020-02-16 06:00:00+00:00,2020-02-17T00:00:00-06:00,2020-02-17 06:00:00+00:00,34928.079861111111
2020-02-17T00:00:00-06:00,2020-02-17 06:00:00+00:00,2020-02-18T00:00:00-06:00,2020-02-18 06:00:00+00:00,37044.815972222222
2020-02-18T00:00:00-06:00,2020-02-18 06:00:00+00:00,2020-02-19T00:00:00-06:00,2020-02-19 06:00:00+00:00,38249.458333333333
2020-02-19T00:00:00-06:00,2020-02-19 06:00:00+00:00,2020-02-20T00:00:00-06:00,2020-02-20 06:00:00+00:00,40692.732638888889
2020-02-20T00:00:00-06:00,2020-02-20 06:00:00+00:00,2020-02-21T00:00:00-06:00,2020-02-21 06:00:00+00:00,43894.555555555556
2020-02-21T00:00:00-06:00,2020-02-21 06:00:00+00:00,2020-02-22T00:00:00-06:00,2020-02-22 06:00:00+00:00,44142.038194444444
2020-02-22T00:00:00-06:00,2020-02-22 06:00:00+00:00,2020-02-23T00:00:00-06:00,2020-02-23 06:00:00+00:00,39379.322916666667
2020-02-23T00:00:00-06:00,2020-02-23 06:00:00+00:00,2020-02-24T00:00:00-06:00,2020-02-24 06:00:00+00:00,36652.684027777778
2020-02-24T00:00:00-06:00,2020-02-24 06:00:00+00:00,2020-02-25T00:00:00-06:00,2020-02-25 06:00:00+00:00,36751.322916666667
2020-02-25T00:00:00-06:00,2020-02-25 06:00:00+00:00,2020-02-26T00:00:00-06:00,2020-02-26 06:00:00+00:00,38782.038194444444
2020-02-26T00:00:00-06:00,2020-02-26 06:00:00+00:00,2020-02-27T00:00:00-06:00,2020-02-27 06:00:00+00:00,43353.086805555556
