interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,coast,east,far_west,north,north_central,south_central,southern,west
2017-01-01T00:00:00-06:00,2017-01-01 06:00:00+00:00,2017-01-02T00:00:00-06:00,2017-01-02 06:00:00+00:00,2017-01-01T05:00:00-06:00,2017-01-01 11:00:00+00:00,68.25,62.9791666666667,54.25,51.1041666666667,55,63.7916666666667,70.8583333333333,55.15
2017-01-01T00:00:00-06:00,2017-01-01 06:00:00+00:00,2017-01-02T00:00:00-06:00,2017-01-02 06:00:00+00:00,2017-01-02T05:00:00-06:00,2017-01-02 11:00:00+00:00,67.2541666666667,62.5833333333333,54.6458333333333,50.625,53.8854166666667,61.1875,69.825,55.4333333333333
2017-01-01T00:00:00-06:00,2017-01-01 06:00:00+00:00,2017-01-02T00:00:00-06:00,2017-01-02 06:00:00+00:00,2017-01-03T05:00:01-06:00,2017-01-03 11:00:01+00:00,67.2541666666666,62.5833333333333,54.6458333333333,50.625,53.8854166666667,61.1875,69.825,55.4333333333333
2017-01-01T00:00:00-06:00,2017-01-01 06:00:00+00:00,2017-01-02T00:00:00-06:00,2017-01-02 06:00:00+00:00,2017-01-04T05:00:01-06:00,2017-01-04 11:00:01+00:00,67.2541666666667,62.5833333333333,54.6458333333333,50.625,53.8854166666667,61.1875,69.825,55.4333333333333
2017-01-02T00:00:00-06:00,2017-01-02 06:00:00+00:00,2017-01-03T00:00:00-06:00,2017-01-03 06:00:00+00:00,2017-01-01T05:00:00-06:00,2017-01-01 11:00:00+00:00,69.6541666666667,65.9375,50.5625,57.7291666666667,62.7916666666667,65.6875,70.5583333333333,56.3916666666667
2017-01-02T00:00:00-06:00,2017-01-02 06:00:00+00:00,2017-01-03T00:00:00-06:00,2017-01-03 06:00:00+00:00,2017-01-02T05:00:00-06:00,2017-01-02 11:00:00+00:00,69.3708333333333,65.5625,51.9583333333333,57.3333333333333,62.2291666666667,65.6458333333333,71.4916666666667,56.1416666666667
2017-01-02T00:00:00-06:00,2017-01-02 06:00:00+00:00,2017-01-03T00:00:00-06:00,2017-01-03 06:00:00+00:00,2017-01-03T05:00:01-06:00,2017-01-03 11:00:01+00:00,67.8208333333334,62.7916666666667,52.5625,55.8541666666667,61.5833333333333,63.7708333333333,72.5666666666667,55.3166666666667
2017-01-02T00:00:00-06:00,2017-01-02 06:00:00+00:00,2017-01-03T00:00:00-06:00,2017-01-03 06:00:00+00:00,2017-01-04T05:00:01-06:00,2017-01-04 11:00:01+00:00,67.8208333333333,62.7916666666667,52.5625,55.8541666666667,61.5833333333333,63.7708333333333,72.5666666666667,55.3166666666667
2017-01-02T00:00:00-06:00,2017-01-02 06:00:00+00:00,2017-01-03T00:00:00-06:00,2017-01-03 06:00:00+00:00,2017-01-05T05:00:01-06:00,2017-01-05 11:00:01+00:00,67.8208333333334,62.7916666666667,52.5625,55.8541666666667,61.5833333333333,63.7708333333333,72.5666666666667,55.3166666666667
2017-01-03T00:00:00-06:00,2017-01-03 06:00:00+00:00,2017-01-04T00:00:00-06:00,2017-01-04 06:00:00+00:00,2017-01-01T05:00:00-06:00,2017-01-01 11:00:00+00:00,62.5625,56.8541666666667,49.8541666666667,44.8958333333333,51.21875,59.5416666666667,64.45,49.775
